State,Name,domain
New South Wales ,Australian Catholic University,www.acu.edu.au/
New South Wales ,Charles Sturt University,www.csu.edu.au/
New South Wales ,Macquarie University,mq.edu.au/
New South Wales ,Southern Cross University,scu.edu.au/
New South Wales ,The University of New England,www.une.edu.au/
New South Wales ,The University of New South Wales,https://www.unsw.edu.au/
New South Wales ,The University of Newcastle,www.newcastle.edu.au/
New South Wales ,The University of Sydney,sydney.edu.au/
New South Wales ,"University of Technology, Sydney ",https://www.uts.edu.au/
New South Wales ,University of Western Sydney ,www.uws.edu.au/
New South Wales ,University of Wollongong ,www.uow.edu.au/
Victoria,Deakin University,www.deakin.edu.au/
Victoria,La Trobe University,www.latrobe.edu.au/
Victoria,MCD University of Divinity,www.divinity.edu.au/
Victoria,Monash University,www.monash.edu.au/
Victoria,Royal Melbourne Institute of Technology (RMIT University),www.rmit.edu.au/
Victoria,Swinburne University of Technology,www.swinburne.edu.au/
Victoria,The University of Melbourne,www.unimelb.edu.au/
Victoria,University of Ballarat,https://www.ballarat.edu.au/
Victoria,Victoria University,www.vu.edu.au/
Queensland,Bond University,bond.edu.au/
Queensland,Central Queensland University ,www.cqu.edu.au/
Queensland,Griffith University,www.griffith.edu.au/
Queensland,James Cook University,www.jcu.edu.au/
Queensland,Queensland University of Technology ,https://www.qut.edu.au/
Queensland,The University of Queensland ,www.uq.edu.au/
Queensland,University of the Sunshine Coast ,www.usc.edu.au/
Queensland,University of Southern Queensland,www.usq.edu.au/
Western Australia,Curtin University of Technology,www.curtin.edu.au/
Western Australia,Edith Cowan University,www.ecu.edu.au/
Western Australia,Murdoch University,www.murdoch.edu.au/
Western Australia,The University of Notre Dame Australia ,www.nd.edu.au/
Western Australia,The University of Western Australia,www.uwa.edu.au/
South Australia,The Flinders University of South Australia ,www.flinders.edu.au/
South Australia,The University of Adelaide,www.adelaide.edu.au/
South Australia,University of South Australia,www.unisa.edu.au/
Tasmania,University of Tasmania,www.utas.edu.au/
Northern Territory,Batchelor Institute of Indigenous Tertiary Education,www.batchelor.edu.au/
Northern Territory,Charles Darwin University,www.cdu.edu.au/
Australian Capital Territory,Australian Institute of Aboriginal and Torres Strait Islander Studies (AIATSIS),www.aiatsis.gov.au/
Australian Capital Territory,The Australian National University,www.anu.edu.au/
Australian Capital Territory,University of Canberra ,www.canberra.edu.au/
